ts_ms,close_research_slow_delta
1672156800000,-128.214844
1672171200000,-93.5644531
1672185600000,-127.298828
1672200000000,-117.943359
1672214400000,-84.3183594
1672228800000,-169.539062
1672243200000,-140.777344
1672257600000,-164.066406
1672272000000,-139.185547
1672286400000,-134.099609
1672300800000,-89.5507812
1672315200000,-73.0429688
1672329600000,-75.7285156
1672344000000,-42.8847656
1672358400000,-78.0996094
1672372800000,-172.617188
1672387200000,-139.505859
1672401600000,-31.8476562
1672416000000,-50.9003906
1672430400000,26.7207031
1672444800000,-30.0292969
1672459200000,-22.8320312
1672473600000,-11.7167969
1672488000000,-3.66015625
1672502400000,-19.8417969
1672516800000,-29.6992188
1672531200000,-33.7050781
1672545600000,-39.4628906
1672560000000,-14.8808594
1672574400000,-10.1875
1672588800000,24.5820312
1672603200000,42.4375
1672617600000,91.6191406
1672632000000,136.546875
1672646400000,146.779297
1672660800000,137.720703
1672675200000,136.287109
1672689600000,70.8613281
1672704000000,92.5683594
1672718400000,114.501953
1672732800000,103.460938
1672747200000,57.7382812
1672761600000,24.0917969
1672776000000,45.2207031
1672790400000,218.003906
1672804800000,215.474609
1672819200000,173.910156
1672833600000,169.785156
1672848000000,122.228516
1672862400000,138.054688
1672876800000,88.3984375
1672891200000,77.9511719
1672905600000,96.1464844
1672920000000,96.7578125
1672934400000,109.916016
1672948800000,75.2988281
1672963200000,70.5097656
1672977600000,29.8203125
1672992000000,-20.6425781
1673006400000,76.875
1673020800000,158.701172
1673035200000,149.550781
1673049600000,148.019531
1673064000000,131.966797
1673078400000,115.214844
1673092800000,129.271484
1673107200000,131.986328
1673121600000,126.935547
1673136000000,118.402344
1673150400000,129.626953
