ts_ms,research_source_1_ang_pct_span_10
1672358400000,-5.17003345
1672372800000,-5.83265686
1672387200000,-6.43891811
1672401600000,-6.92008638
1672416000000,-7.25088644
1672430400000,-7.41899157
1672444800000,-7.57618761
1672459200000,-7.84440899
1672473600000,-7.81116676
1672488000000,-7.71269751
1672502400000,-7.46577358
1672516800000,-7.26196289
1672531200000,-7.0434866
1672545600000,-7.01029348
1672560000000,-6.91807652
1672574400000,-6.76793337
1672588800000,-6.55857372
1672603200000,-6.60843563
1672617600000,-6.53577185
1672632000000,-6.29436302
1672646400000,-5.88605642
1672660800000,-5.13620758
1672675200000,-4.36677742
1672689600000,-3.79801893
1672704000000,-3.23087144
1672718400000,-2.60165906
1672732800000,-1.97050989
1672747200000,-1.50340164
1672761600000,-1.20117152
1672776000000,-1.03716278
1672790400000,-1.09570205
1672804800000,-1.06648624
1672819200000,-0.947814703
1672833600000,-0.818157971
1672848000000,-0.660816073
1672862400000,-0.492498815
1672876800000,-0.230775312
1672891200000,-0.0109737543
1672905600000,0.247385025
1672920000000,0.328074187
1672934400000,0.366523415
1672948800000,0.311537743
1672963200000,0.263928801
1672977600000,-0.0458206274
1672992000000,-0.371930212
1673006400000,-0.626595676
1673020800000,-0.643013358
1673035200000,-0.663069129
1673049600000,-0.703328192
1673064000000,-0.758245528
1673078400000,-0.685032785
1673092800000,-0.599090517
1673107200000,-0.351840407
1673121600000,-0.0953466669
1673136000000,0.00737862801
1673150400000,-0.0916512236
1673164800000,-0.258530498
1673179200000,-0.350235671
1673193600000,-0.500578821
1673208000000,-0.575773537
1673222400000,-0.562933683
1673236800000,-0.614269316
1673251200000,-0.643618941
1673265600000,-0.535502613
1673280000000,-0.438363105
1673294400000,-0.385244012
1673308800000,-0.330252916
1673323200000,-0.234904006
1673337600000,-0.216554374
1673352000000,-0.260582209
1673366400000,-0.170664459
1673380800000,-0.0899324194
1673395200000,-0.064274691
1673409600000,0.1780397
1673424000000,0.528622508
1673438400000,1.01502979
1673452800000,1.50322104
1673467200000,1.96924126
1673481600000,2.47534895
1673496000000,2.72613907
