ts_ms,bb_middle,bb_upper_band,bb_lower_band
1613304000000,47646.8555,49157.5195,46136.1953
1613318400000,47723.8203,49352.9102,46094.7305
1613332800000,47838.75,49498.2344,46179.2656
1613347200000,47820.8945,49503.8789,46137.9102
1613361600000,47804.9297,49505.6406,46104.2188
1613376000000,47797.3555,49495.1406,46099.5742
1613390400000,47863.3203,49517.1602,46209.4844
1613404800000,48020.1055,49588.8164,46451.3984
1613419200000,48081,49572.7812,46589.2188
1613433600000,48274.25,49839.9219,46708.5781
1613448000000,48413.1445,49937.1133,46889.1719
1613462400000,48523.4297,49973.293,47073.5625
1613476800000,48526.1797,49979.2383,47073.1211
1613491200000,48481.7148,49882.4453,47080.9805
1613505600000,48523.4648,49975.7266,47071.2031
1613520000000,48590,50171.5703,47008.4297
1613534400000,48772.5703,50867.1562,46677.9883
1613548800000,49075.7852,51365.8359,46785.7344
1613563200000,49359.0703,51647.6719,47070.4688
1613577600000,49667.75,52240.7227,47094.7773
1613592000000,49965.9648,52667.2383,47264.6914
1613606400000,50205.5703,53049.2617,47361.8789
1613620800000,50491.6055,53189.6055,47793.6094
1613635200000,50617.8945,53316.9648,47918.8203
1613649600000,50787.1797,53405.375,48168.9805
1613664000000,50987.8945,53450.5938,48525.1914
1613678400000,51177.0352,53382.7148,48971.3555
1613692800000,51364.6055,53051.6992,49677.5156
1613707200000,51542.1055,52750.6406,50333.5703
1613721600000,51760.2852,52668.2734,50852.2969
1613736000000,51948.6445,53327.4648,50569.8242
1613750400000,52202.3555,54235.7891,50168.9258
1613764800000,52534.6797,55219.0977,49850.2578
1613779200000,52791.8203,55958.1992,49625.4453
1613793600000,53016.5,56417.3242,49615.6758
1613808000000,53321.25,57108.5156,49533.9844
1613822400000,53624.25,57612.9727,49635.5273
1613836800000,54026.4297,58186.668,49866.1875
1613851200000,54340.5703,58373.6719,50307.4727
1613865600000,54682.8555,58607.4922,50758.2227
1613880000000,55005.1797,58595.5156,51414.8398
1613894400000,55449.8203,58575.9531,52323.6914
1613908800000,55859.2148,58363.6758,53354.7539
1613923200000,56243.5352,58386,54101.0742
1613937600000,56498.1445,58276.3789,54719.9062
1613952000000,56569.5352,58164.5586,54974.5117
1613966400000,56622.9648,58167.3047,55078.6211
1613980800000,56534.75,58364.0742,54705.4258
1613995200000,56387.8945,58812.6016,53963.1836
1614009600000,56183.1797,59006.4102,53359.9492
1614024000000,56027.1445,59054.6406,52999.6445
1614038400000,55661.1055,59275.5781,52046.6367
1614052800000,55211.2852,59952.7695,50469.8008
1614067200000,54485.5352,60954.8008,48016.2695
1614081600000,53948.9648,61004.5195,46893.4102
1614096000000,53094.75,61076.418,45113.082
1614110400000,52484.6797,60345.8047,44623.5508
1614124800000,51962.25,59182.082,44742.418
1614139200000,51437.1055,58025.2031,44849.0078
1614153600000,51040.7148,57144.6367,44936.793
1614168000000,50562.3203,55843.4258,45281.2188
1614182400000,50164.4648,54988.6719,45340.2578
1614196800000,49912.0352,54417.5742,45406.5
1614211200000,49678.5,53714.7734,45642.2266
1614225600000,49426.1055,52707.3008,46144.9141
1614240000000,49316.3945,52345.6602,46287.125
1614254400000,49404.1797,52538.8047,46269.5547
1614268800000,49624.25,52291.0039,46957.4961
1614283200000,49516.0703,52447.6953,46584.4492
1614297600000,49651.5,51932.2656,47370.7344
1614312000000,49373.5,52670.2617,46076.7383
1614326400000,49056,52560.6797,45551.3203
1614340800000,48882.7148,52403.6445,45361.7852
1614355200000,48638.8555,52177.9648,45099.75
1614369600000,48385.8555,52032.8008,44738.9141
1614384000000,48272.3555,51931.0586,44613.6562
1614398400000,48089.3945,51691.2695,44487.5156
1614412800000,47876.9297,51275.9375,44477.9219
1614427200000,47593.3203,50713.332,44473.3086
1614441600000,47382.3203,50081.8438,44682.8008
1614456000000,47044.2852,48972.4727,45116.0977
1614470400000,46696.2148,48469.2305,44923.1992
1614484800000,46507.1797,48602.8633,44411.4922
1614499200000,46360.9297,48472.5508,44249.3086
1614513600000,46247.5,48766.6523,43728.3477
1614528000000,46107.4297,48782.4453,43432.4141
1614542400000,45933.5352,48492.5977,43374.4727
1614556800000,45889.7148,48395.5039,43383.9219
1614571200000,45889.0703,48394.3867,43383.7578
1614585600000,45918.2148,48503.2383,43333.1914
1614600000000,46067.1445,49123.5156,43010.7695
1614614400000,46139.8555,49357.2852,42922.4297
1614628800000,46363.9297,50065.3555,42662.5
1614643200000,46476.6797,50394.6797,42558.6797
1614657600000,46635.4297,50668.7773,42602.0781
1614672000000,46939.9297,50968.3906,42911.4688
1614686400000,47245.8555,51119.9648,43371.75
1614700800000,47397.2148,51126.5586,43667.8711
1614715200000,47760.1055,50799.8477,44720.3672
1614729600000,48065.5352,50527.8047,45603.2656
1614744000000,48393.3203,50452.2422,46334.3984
1614758400000,48779.4648,51178.6836,46380.2422
1614772800000,49100.1055,51306.75,46893.4648
1614787200000,49318.4648,51590.3281,47046.6016
1614801600000,49395.9648,51728.7266,47063.1992
1614816000000,49483.3555,51743.293,47223.4219
1614830400000,49485.2148,51745.8633,47224.5664
1614844800000,49509.25,51757.5312,47260.9688
1614859200000,49588.1445,51749.5547,47426.7305
1614873600000,49524.1797,51812.2031,47236.1523
1614888000000,49499.8203,51827.8008,47171.8398
1614902400000,49487.9297,51858.5352,47117.3203
1614916800000,49409.0352,51970.2891,46847.7852
1614931200000,49320.4648,52047.1055,46593.8242
1614945600000,49183.8555,51985.5977,46382.1172
1614960000000,49012,51423.5469,46600.4531
1614974400000,48865.8555,51054.6289,46677.0859
1614988800000,48705.1797,50579.2266,46831.1289
1615003200000,48598.6445,50241.4102,46955.875
1615017600000,48499.5,50060.5938,46938.4062
1615032000000,48322.5352,49853.9961,46791.0781
